"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","test_returns_405_method_not_supported","tests.ae_products","2026-06-14","passed","2026-06-14","TestPutToBrandsList","test_ae_products_api","",""
"","3501","test_page_loads[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestProductPage","test_product_ui","",""
"","52","test_user_has_required_fields","tests.ae_account","2026-06-14","passed","2026-06-14","TestGetUserDetail","test_ae_account_api","",""
"","51","test_returns_404_user_not_found","tests.ae_account","2026-06-14","passed","2026-06-14","TestVerifyLoginInvalidCredentials","test_ae_account_api","",""
"","6381","test_order_placed_after_login[chromium]","tests.checkout","2026-06-14","passed","2026-06-14","TestPlaceOrderLoginBeforeCheckout","test_checkout_ui","",""
"","48","test_returns_200","tests.ae_products","2026-06-14","passed","2026-06-14","TestGetAllBrands","test_ae_products_api","",""
"","3881","test_search_returns_results[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestProductSearch","test_product_ui","",""
"","3326","test_product_detail_page_shows_price[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestProductDetailPage","test_product_detail_ui","",""
"","11689","test_cart_products_persist_after_login[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestSearchAndVerifyCartAfterLogin","test_cart_ui","",""
"","7091","test_recommended_item_added_to_cart[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestAddRecommendedItemToCart","test_cart_ui","",""
"","45","test_message_confirms_user_exists","tests.ae_account","2026-06-14","passed","2026-06-14","TestVerifyLogin","test_ae_account_api","",""
"","3385","test_product_detail_page_shows_brand[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestProductDetailPage","test_product_detail_ui","",""
"","3550","test_scroll_up_arrow_returns_to_hero[chromium]","tests.home","2026-06-14","passed","2026-06-14","TestScrollUpWithArrow","test_home_ui","",""
"","41","test_error_message_mentions_missing_param","tests.ae_products","2026-06-14","passed","2026-06-14","TestSearchProductMissingParam","test_ae_products_api","",""
"","3515","test_form_submission_shows_success[chromium]","tests.contact","2026-06-14","passed","2026-06-14","TestContactUsForm","test_contact_ui","",""
"","3698","test_polo_brand_page_shows_products[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestViewBrandProducts","test_categories_brands_ui","",""
"","94","test_each_product_has_name_and_price","tests.ae_products","2026-06-14","passed","2026-06-14","TestGetAllProducts","test_ae_products_api","",""
"","53","test_message_confirms_deletion","tests.ae_account","2026-06-14","passed","2026-06-14","TestDeleteAccount","test_ae_account_api","",""
"","4645","test_cart_shows_correct_product_names[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestAddProductsToCart","test_cart_ui","",""
"","3222","test_product_detail_page_shows_category[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestProductDetailPage","test_product_detail_ui","",""
"","426","test_email_matches_requested","tests.ae_account","2026-06-14","passed","2026-06-14","TestGetUserDetail","test_ae_account_api","",""
