"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3462","test_products_listing_has_view_product_links[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestProductDetailPage","test_product_detail_ui","",""
"","13","test_all_items_have_id","tests.users","2026-06-13","passed","2026-06-13","TestGetAllUsers","test_user_api","",""
"","6415","test_valid_credentials_redirect_away_from_login[chromium]","tests.users","2026-06-13","failed","2026-06-13","TestLoginPage","test_login_ui","",""
"","3726","test_h_m_brand_page_shows_products[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestViewBrandProducts","test_categories_brands_ui","",""
"","8240","test_subscription_success_on_cart[chromium]","tests.products","2026-06-13","failed","2026-06-13","TestSubscriptionOnCartPage","test_subscription_ui","",""
"","117","test_each_product_has_name_and_price","tests.ae_products","2026-06-13","passed","2026-06-13","TestGetAllProducts","test_ae_products_api","",""
"","84","test_message_confirms_deletion","tests.ae_account","2026-06-13","passed","2026-06-13","TestDeleteAccount","test_ae_account_api","",""
"","33","test_delete_returns_none","tests.users","2026-06-13","passed","2026-06-13","TestDeleteUser","test_user_api","",""
"","15","test_returns_valid_schema","tests.users","2026-06-13","passed","2026-06-13","TestGetUser","test_user_api","",""
"","8163","test_order_placed_after_registering_at_checkout[chromium]","tests.checkout","2026-06-13","passed","2026-06-13","TestPlaceOrderRegisterDuringCheckout","test_checkout_ui","",""
"","5159","test_search_returns_results[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestProductSearch","test_product_ui","",""
"","14","test_name_is_non_empty","tests.users","2026-06-13","passed","2026-06-13","TestGetUser","test_user_api","",""
"","34","test_echoes_payload_fields","tests.posts","2026-06-13","passed","2026-06-13","TestCreatePost","test_post_api","",""
"","13","test_user_id_is_positive","tests.posts","2026-06-13","passed","2026-06-13","TestGetPost","test_post_api","",""
"","68","test_error_message_mentions_missing_param","tests.ae_products","2026-06-13","passed","2026-06-13","TestSearchProductMissingParam","test_ae_products_api","",""
"","66","test_returns_405_method_not_supported","tests.ae_products","2026-06-13","passed","2026-06-13","TestPostToProductsList","test_ae_products_api","",""
"","4169","test_product_detail_page_shows_availability[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestProductDetailPage","test_product_detail_ui","",""
"","7238","test_quantity_4_is_reflected_in_cart[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestProductQuantityInCart","test_cart_ui","",""
"","5890","test_account_created_page_shows_success[chromium]","tests.users","2026-06-13","passed","2026-06-13","TestRegisterUser","test_register_ui","",""
"","93","test_message_confirms_creation","tests.ae_account","2026-06-13","passed","2026-06-13","TestCreateAccount","test_ae_account_api","",""
"","4257","test_two_products_appear_in_cart[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestAddProductsToCart","test_cart_ui","",""
"","6867","test_wrong_credentials_show_error[chromium]","tests.users","2026-06-13","passed","2026-06-13","TestLoginWithInvalidCredentials","test_login_ui","",""
"","443","test_returns_valid_schema","tests.posts","2026-06-13","passed","2026-06-13","TestGetPost","test_post_api","",""
"","5754","test_order_placed_successfully[chromium]","tests.checkout","2026-06-13","passed","2026-06-13","TestPlaceOrderRegisterBeforeCheckout","test_checkout_ui","",""
"","5840","test_invoice_file_is_downloaded[chromium]","tests.checkout","2026-06-13","passed","2026-06-13","TestDownloadInvoice","test_checkout_ui","",""
"","80","test_returns_400_bad_request","tests.ae_products","2026-06-13","passed","2026-06-13","TestSearchProductMissingParam","test_ae_products_api","",""
"","34","test_response_includes_generated_id","tests.users","2026-06-13","passed","2026-06-13","TestCreateUser","test_user_api","",""
"","3599","test_subscription_success_shown[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestSubscriptionOnHomePage","test_subscription_ui","",""
"","82","test_returns_200_account_deleted","tests.ae_account","2026-06-13","passed","2026-06-13","TestDeleteAccount","test_ae_account_api","",""
"","78","test_user_has_required_fields","tests.ae_account","2026-06-13","passed","2026-06-13","TestGetUserDetail","test_ae_account_api","",""
"","3729","test_success_allows_return_to_home[chromium]","tests.contact","2026-06-13","failed","2026-06-13","TestContactUsForm","test_contact_ui","",""
"","14","test_returns_non_empty_list","tests.posts","2026-06-13","passed","2026-06-13","TestGetAllPosts","test_post_api","",""
"","3389","test_page_loads[chromium]","tests.users","2026-06-13","passed","2026-06-13","TestLoginPage","test_login_ui","",""
"","20","test_unknown_id_raises_api_error","tests.posts","2026-06-13","passed","2026-06-13","TestGetPost","test_post_api","",""
"","5098","test_new_user_can_register[chromium]","tests.users","2026-06-13","passed","2026-06-13","TestRegisterUser","test_register_ui","",""
"","37","test_echoes_payload_fields","tests.users","2026-06-13","passed","2026-06-13","TestCreateUser","test_user_api","",""
"","14","test_returns_non_empty_list","tests.users","2026-06-13","passed","2026-06-13","TestGetAllUsers","test_user_api","",""
"","3415","test_product_detail_page_shows_price[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestProductDetailPage","test_product_detail_ui","",""
"","116","test_products_list_is_non_empty","tests.ae_products","2026-06-13","passed","2026-06-13","TestGetAllProducts","test_ae_products_api","",""
"","3713","test_form_submission_shows_success[chromium]","tests.contact","2026-06-13","passed","2026-06-13","TestContactUsForm","test_contact_ui","",""
"","74","test_message_confirms_user_exists","tests.ae_account","2026-06-13","failed","2026-06-13","TestVerifyLogin","test_ae_account_api","",""
"","91","test_message_confirms_update","tests.ae_account","2026-06-13","passed","2026-06-13","TestUpdateAccount","test_ae_account_api","",""
"","588","test_returns_200_user_exists","tests.ae_account","2026-06-13","failed","2026-06-13","TestVerifyLogin","test_ae_account_api","",""
"","90","test_returns_200_user_updated","tests.ae_account","2026-06-13","passed","2026-06-13","TestUpdateAccount","test_ae_account_api","",""
"","13428","test_product_detail_page_shows_name[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestProductDetailPage","test_product_detail_ui","",""
"","83","test_search_results_contain_keyword","tests.ae_products","2026-06-13","passed","2026-06-13","TestSearchProduct","test_ae_products_api","",""
"","95","test_brands_list_is_non_empty","tests.ae_products","2026-06-13","passed","2026-06-13","TestGetAllBrands","test_ae_products_api","",""
"","89","test_updated_name_is_reflected","tests.users","2026-06-13","passed","2026-06-13","TestUpdateUser","test_user_api","",""
"","86","test_unknown_id_raises_api_error","tests.users","2026-06-13","passed","2026-06-13","TestGetUser","test_user_api","",""
"","33680","test_cart_products_persist_after_login[chromium]","tests.products","2026-06-13","broken","2026-06-13","TestSearchAndVerifyCartAfterLogin","test_cart_ui","",""
"","3378","test_product_detail_page_shows_category[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestProductDetailPage","test_product_detail_ui","",""
"","213","test_returns_400_missing_parameter","tests.ae_account","2026-06-13","passed","2026-06-13","TestVerifyLoginMissingEmail","test_ae_account_api","",""
"","5693","test_order_placed_after_login[chromium]","tests.checkout","2026-06-13","passed","2026-06-13","TestPlaceOrderLoginBeforeCheckout","test_checkout_ui","",""
"","11980","test_page_stays_at_login_url[chromium]","tests.users","2026-06-13","passed","2026-06-13","TestLoginWithInvalidCredentials","test_login_ui","",""
"","76","test_returns_404_user_not_found","tests.ae_account","2026-06-13","passed","2026-06-13","TestVerifyLoginInvalidCredentials","test_ae_account_api","",""
"","67","test_returns_405_method_not_supported","tests.ae_account","2026-06-13","passed","2026-06-13","TestDeleteVerifyLogin","test_ae_account_api","",""
"","3979","test_delivery_address_is_not_empty[chromium]","tests.checkout","2026-06-13","passed","2026-06-13","TestVerifyAddressAtCheckout","test_checkout_ui","",""
"","6543","test_products_are_listed[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestProductPage","test_product_ui","",""
