"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","91","test_message_indicates_user_not_found","tests.ae_account","2026-06-13","passed","2026-06-13","TestVerifyLoginInvalidCredentials","test_ae_account_api","",""
"","118","test_returns_matching_products","tests.ae_products","2026-06-13","passed","2026-06-13","TestSearchProduct","test_ae_products_api","",""
"","95","test_returns_200_with_user_object","tests.ae_account","2026-06-13","passed","2026-06-13","TestGetUserDetail","test_ae_account_api","",""
"","16","test_returns_non_empty_list","tests.posts","2026-06-13","passed","2026-06-13","TestGetAllPosts","test_post_api","",""
"","33734","test_scroll_up_arrow_returns_to_hero[chromium]","tests.home","2026-06-13","broken","2026-06-13","TestScrollUpWithArrow","test_home_ui","",""
"","93","test_returns_405_method_not_supported","tests.ae_account","2026-06-13","passed","2026-06-13","TestDeleteVerifyLogin","test_ae_account_api","",""
"","5828","test_order_placed_after_login[chromium]","tests.checkout","2026-06-13","passed","2026-06-13","TestPlaceOrderLoginBeforeCheckout","test_checkout_ui","",""
"","11093","test_product_detail_page_shows_name[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestProductDetailPage","test_product_detail_ui","",""
"","15","test_echoes_payload_fields","tests.posts","2026-06-13","passed","2026-06-13","TestCreatePost","test_post_api","",""
"","7038","test_wrong_credentials_show_error[chromium]","tests.users","2026-06-13","passed","2026-06-13","TestLoginWithInvalidCredentials","test_login_ui","",""
"","126","test_message_confirms_update","tests.ae_account","2026-06-13","passed","2026-06-13","TestUpdateAccount","test_ae_account_api","",""
"","38","test_returns_valid_schema","tests.users","2026-06-13","passed","2026-06-13","TestGetUser","test_user_api","",""
"","335","test_returns_valid_schema","tests.posts","2026-06-13","passed","2026-06-13","TestGetPost","test_post_api","",""
"","19","test_response_includes_generated_id","tests.posts","2026-06-13","passed","2026-06-13","TestCreatePost","test_post_api","",""
"","4442","test_two_products_appear_in_cart[chromium]","tests.products","2026-06-13","passed","2026-06-13","TestAddProductsToCart","test_cart_ui","",""
