"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41","test_returns_400_bad_request","tests.ae_products","2026-06-14","passed","2026-06-14","TestSearchProductMissingParam","test_ae_products_api","",""
"","3285","test_product_detail_page_shows_name[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestProductDetailPage","test_product_detail_ui","",""
"","6511","test_wrong_credentials_show_error[chromium]","tests.users","2026-06-14","passed","2026-06-14","TestLoginWithInvalidCredentials","test_login_ui","",""
"","88","test_response_includes_generated_id","tests.posts","2026-06-14","passed","2026-06-14","TestCreatePost","test_post_api","",""
"","87","test_response_includes_generated_id","tests.users","2026-06-14","passed","2026-06-14","TestCreateUser","test_user_api","",""
"","4501","test_account_created_page_shows_success[chromium]","tests.users","2026-06-14","passed","2026-06-14","TestRegisterUser","test_register_ui","",""
"","22","test_valid_id_returns_matching_post[75]","tests.posts","2026-06-14","passed","2026-06-14","TestGetPost","test_post_api","",""
"","86","test_various_names_are_echoed[Alice Smith-alice@example.com]","tests.users","2026-06-14","passed","2026-06-14","TestCreateUser","test_user_api","",""
"","3536","test_scroll_up_arrow_returns_to_hero[chromium]","tests.home","2026-06-14","passed","2026-06-14","TestScrollUpWithArrow","test_home_ui","",""
"","5598","test_invoice_file_is_downloaded[chromium]","tests.checkout","2026-06-14","passed","2026-06-14","TestDownloadInvoice","test_checkout_ui","",""
"","3856","test_cart_shows_correct_product_names[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestAddProductsToCart","test_cart_ui","",""
"","47","test_returns_200","tests.ae_products","2026-06-14","passed","2026-06-14","TestGetAllBrands","test_ae_products_api","",""
"","72","test_returns_matching_products","tests.ae_products","2026-06-14","passed","2026-06-14","TestSearchProduct","test_ae_products_api","",""
"","85","test_various_payloads_return_generated_id[Unicode: caf\xe9 \u5317\u4eac-Body content with unicode characters.]","tests.posts","2026-06-14","passed","2026-06-14","TestCreatePost","test_post_api","",""
"","20","test_unknown_id_raises_api_error","tests.posts","2026-06-14","passed","2026-06-14","TestGetPost","test_post_api","",""
"Product grid layout must stay consistent.","3480","test_product_listing_grid[chromium]","tests.products","2026-06-14","broken","2026-06-14","TestProductVisualRegression","test_product_visual","",""
"","47","test_returns_405_method_not_supported","tests.ae_products","2026-06-14","passed","2026-06-14","TestPostToProductsList","test_ae_products_api","",""
"","6894","test_recommended_item_added_to_cart[chromium]","tests.products","2026-06-14","passed","2026-06-14","TestAddRecommendedItemToCart","test_cart_ui","",""
