"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","208","test_returns_200","tests.ae_products","2026-06-15","passed","2026-06-15","TestGetAllProducts","test_ae_products_api","",""
"","65","test_various_names_are_echoed[Mar\xeda Garc\xeda-maria@example.com]","tests.users","2026-06-15","passed","2026-06-15","TestCreateUser","test_user_api","",""
"","3374","test_order_placed_after_login[chromium]","tests.checkout","2026-06-15","passed","2026-06-15","TestPlaceOrderLoginBeforeCheckout","test_checkout_ui","",""
"","669","test_message_confirms_creation","tests.ae_account","2026-06-15","passed","2026-06-15","TestCreateAccount","test_ae_account_api","",""
"","74","test_search_results_contain_keyword","tests.ae_products","2026-06-15","passed","2026-06-15","TestSearchProduct","test_ae_products_api","",""
"","4611","test_manual_scroll_up_returns_to_hero[chromium]","tests.home","2026-06-15","passed","2026-06-15","TestScrollUpManually","test_home_ui","",""
"","31","test_user_id_deserializes_from_camel_case","tests.posts","2026-06-15","passed","2026-06-15","TestGetAllPosts","test_post_api","",""
"","783","test_wrong_credentials_show_error_and_stay_on_login[chromium]","tests.users","2026-06-15","passed","2026-06-15","TestLoginWithInvalidCredentials","test_login_ui","",""
"","995","test_polo_brand_page_shows_products[chromium]","tests.products","2026-06-15","passed","2026-06-15","TestViewBrandProducts","test_categories_brands_ui","",""
"","137","test_valid_id_returns_matching_post[50]","tests.posts","2026-06-15","passed","2026-06-15","TestGetPost","test_post_api","",""
"","581","test_subscription_success_on_cart[chromium]","tests.products","2026-06-15","passed","2026-06-15","TestSubscriptionOnCartPage","test_subscription_ui","",""
"","5999","test_form_submission_shows_success[chromium]","tests.contact","2026-06-15","passed","2026-06-15","TestContactUsForm","test_contact_ui","",""
"","1177","test_men_tshirts_category_shows_products[chromium]","tests.products","2026-06-15","passed","2026-06-15","TestViewCategoryProducts","test_categories_brands_ui","",""
"","356","test_product_detail_page_shows_price[chromium]","tests.products","2026-06-15","passed","2026-06-15","TestProductDetailPage","test_product_detail_ui","",""
"","133","test_updated_title_is_reflected","tests.posts","2026-06-15","passed","2026-06-15","TestUpdatePost","test_post_api","",""
"","75","test_returns_405_method_not_supported","tests.ae_products","2026-06-15","passed","2026-06-15","TestPostToProductsList","test_ae_products_api","",""
